Generation {1}
[4, 2, 3, 1, 5] Fitness: 232.08499999999998 Queue: 0 Limit: 45 Distance: 22

Best: 322.0804347826087

[4, 2, 3, 1, 5]fitness=232.08499999999998 ms distance=22KmGeneration {7}
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19

Best: 322.0804347826087

[4, 3, 1, 2, 5]fitness=232.09710144927536 ms distance=19KmGeneration {8}
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19

Best: 322.0804347826087

[4, 3, 1, 2, 5]fitness=232.09710144927536 ms distance=19KmGeneration {9}
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19

Best: 322.0804347826087

[4, 3, 1, 2, 5]fitness=232.09710144927536 ms distance=19KmGeneration {10}
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26

Best: 322.0804347826087

[4, 3, 1, 2, 5]fitness=232.09710144927536 ms distance=26KmGeneration {11}
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19

Best: 322.0804347826087

[4, 1, 2, 3, 5]fitness=232.06 ms distance=19KmGeneration {12}
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 3, 2, 1, 5] Fitness: 322.0804347826087 Queue: 0 Limit: 45 Distance: 19
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 2, 1, 3, 5] Fitness: 142.07 Queue: 0 Limit: 45 Distance: 17
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26

Best: 322.0804347826087

[4, 2, 1, 3, 5]fitness=142.07 ms distance=24KmGeneration {13}
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 2, 1, 3, 5] Fitness: 142.07 Queue: 0 Limit: 45 Distance: 17
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24

Best: 232.09710144927536

[4, 2, 1, 3, 5]fitness=142.07 ms distance=24KmGeneration {14}
[4, 1, 2, 3, 5] Fitness: 232.06 Queue: 0 Limit: 45 Distance: 12
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 2, 1, 3, 5] Fitness: 142.07 Queue: 0 Limit: 45 Distance: 17
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24

Best: 232.09710144927536

[4, 2, 1, 3, 5]fitness=142.07 ms distance=26KmGeneration {15}
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24

Best: 232.09710144927536

[4, 1, 3, 2, 5]fitness=232.09166666666667 ms distance=24KmGeneration {16}
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 3, 1, 2, 5] Fitness: 232.09710144927536 Queue: 0 Limit: 45 Distance: 26
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24

Best: 232.09710144927536

[4, 1, 3, 2, 5]fitness=232.09166666666667 ms distance=24KmGeneration {17}
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
[4, 1, 3, 2, 5] Fitness: 232.09166666666667 Queue: 0 Limit: 45 Distance: 24
